entity_id,state,last_changed
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T08:48:46.646Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T08:49:01.648Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T08:56:21.684Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T08:56:36.686Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T08:58:02.456Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T08:58:17.458Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T08:59:50.345Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T09:00:14.876Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T11:37:02.963Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T11:37:17.965Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T11:48:27.175Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T11:48:45.337Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T11:49:08.632Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T11:49:23.633Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T11:50:03.520Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T11:50:18.522Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T11:50:24.817Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T11:50:39.818Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T11:52:59.279Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T11:53:14.282Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T12:47:32.741Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T12:47:47.743Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T12:48:08.871Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T12:48:23.872Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T13:39:20.999Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T13:39:36.001Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T14:03:37.685Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T14:03:52.687Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T14:26:33.965Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T14:26:48.966Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T15:06:05.530Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T15:06:20.532Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T15:11:15.700Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T15:11:34.840Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-29T18:53:47.486Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-29T18:54:02.488Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T07:05:07.012Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T07:05:22.014Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T07:07:27.481Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T07:07:42.483Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T07:40:12.374Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T07:40:27.377Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T08:00:30.791Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T08:00:45.792Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T08:21:52.210Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T08:22:07.212Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T08:24:44.958Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T08:24:59.960Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T08:26:33.960Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T08:26:48.962Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T08:28:49.004Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T08:29:04.005Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T09:12:36.292Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T09:12:51.295Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T09:17:23.843Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T09:17:38.844Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T09:37:41.726Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T09:37:56.728Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T09:41:26.345Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T09:41:41.347Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T09:42:33.100Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T09:42:48.102Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T11:13:19.460Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T11:13:34.461Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T11:17:40.272Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T11:17:55.275Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T11:21:12.897Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T11:21:27.899Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T11:31:36.728Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T11:31:51.731Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T11:32:29.236Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T11:32:44.237Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T11:33:09.309Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T11:33:24.311Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T11:37:11.604Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T11:37:26.605Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T11:42:25.050Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T11:42:46.394Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T11:42:53.894Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T11:43:08.896Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T11:49:39.172Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T11:49:58.172Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T11:57:12.410Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T11:57:30.837Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T11:59:02.147Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T11:59:17.149Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T13:58:36.985Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T13:59:11.788Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T14:26:40.802Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T14:26:55.803Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T14:27:11.773Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T14:27:26.774Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T14:27:39.054Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T14:27:54.055Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T14:48:03.447Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T14:48:21.823Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T14:51:06.981Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T14:51:21.983Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T14:51:59.337Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T14:52:14.339Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T16:09:04.771Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T16:09:19.773Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T16:15:32.957Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T16:15:47.958Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T16:18:51.185Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T16:19:06.186Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T16:29:49.842Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T16:30:19.275Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T16:30:29.726Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T16:30:44.728Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T16:30:55.661Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T16:31:15.484Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T16:31:59.610Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T16:32:14.611Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T18:00:45.719Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T18:01:00.721Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T18:35:12.965Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T18:35:27.967Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T22:04:05.190Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T22:04:20.191Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-30T22:04:31.949Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-30T22:04:46.950Z
